Name,Region,City,Age
Ivy,East,Los Angeles,34
Charlie,West,Los Angeles,58
Diana,North,New York,28
Charlie,West,New York,55
Grace,North,Los Angeles,65
Grace,East,Philadelphia,68
Jack,West,Dallas,28
Alice,East,Chicago,26
Frank,North,Chicago,30
Ivy,North,New York,40
Hannah,South,New York,31
Frank,East,Chicago,65
Diana,East,New York,34
Jack,West,Phoenix,33
Charlie,South,San Antonio,29
Bob,North,San Antonio,33
Hannah,East,New York,36
Diana,West,Chicago,26
Ivy,East,San Antonio,31
Charlie,North,San Diego,55
Diana,South,Los Angeles,57
Diana,East,San Antonio,62
Diana,East,Los Angeles,62
Ivy,East,New York,60
Grace,South,Houston,65
Hannah,South,Dallas,25
Jack,West,Dallas,34
Hannah,West,Houston,32
Ivy,North,San Antonio,21
Frank,North,Houston,66
Ivy,South,Los Angeles,35
Eve,East,New York,64
Jack,East,Houston,60
Hannah,East,Philadelphia,45
Jack,East,Philadelphia,59
Grace,West,New York,60
Eve,South,Los Angeles,57
Bob,South,Dallas,21
Charlie,East,San Jose,31
Jack,South,Chicago,60
Eve,East,San Antonio,53
Frank,North,Phoenix,37
Bob,North,Chicago,32
Alice,South,San Jose,26
Grace,North,Houston,48
Jack,North,San Jose,33
Grace,West,San Antonio,22
Grace,South,San Jose,52
Diana,North,San Jose,36
Jack,West,Houston,57
Grace,East,Houston,57
Grace,East,Phoenix,39
Frank,West,San Diego,26
Ivy,North,New York,70
Jack,West,Houston,43
Ivy,South,Houston,22
Charlie,South,San Jose,44
Diana,West,Philadelphia,23
Diana,East,Chicago,50
Alice,North,Houston,68
Alice,South,San Jose,52
Charlie,North,Houston,58
Eve,North,Houston,23
Charlie,East,Phoenix,61
Frank,West,New York,34
Diana,South,Chicago,70
Frank,North,San Antonio,69
Grace,South,San Diego,40
Hannah,North,Houston,65
Charlie,North,Phoenix,53
Diana,North,Dallas,41
Hannah,East,San Diego,59
Bob,West,San Diego,50
Jack,North,San Jose,45
Jack,South,San Diego,65
Bob,West,San Antonio,53
Frank,East,Phoenix,56
Jack,North,Chicago,35
Alice,North,Chicago,23
Eve,West,San Antonio,18
Diana,East,San Diego,50
Jack,South,Houston,54
Alice,East,Philadelphia,42
Diana,North,San Diego,51
Eve,North,San Diego,43
Alice,West,Chicago,63
Grace,South,Houston,59
Grace,South,Houston,38
Diana,East,San Antonio,34
Frank,South,Phoenix,55
Jack,South,Houston,66
Diana,South,San Jose,35
Hannah,East,San Jose,32
Jack,South,Chicago,66
Frank,West,Dallas,56
Bob,North,Houston,62
Ivy,West,San Diego,58
Hannah,East,San Antonio,19
Ivy,South,New York,31
Jack,North,Chicago,33
Grace,South,New York,31
Bob,North,Philadelphia,70
Alice,South,San Jose,68
Diana,North,San Jose,34
Frank,North,San Diego,31
Eve,South,San Antonio,39
Bob,West,Philadelphia,24
Eve,West,Houston,33
Alice,North,Chicago,68
Ivy,North,San Jose,20
Bob,North,Houston,54
Bob,West,Chicago,61
Hannah,West,New York,53
Ivy,North,New York,68
Hannah,North,San Jose,25
Frank,North,Phoenix,55
Jack,South,Dallas,18
Jack,North,Los Angeles,45
Charlie,North,San Diego,56
Alice,North,Phoenix,40
Ivy,South,San Diego,48
Jack,West,Dallas,31
Diana,West,Houston,40
Alice,West,Phoenix,52
Charlie,West,San Diego,42
Hannah,North,Philadelphia,23
Alice,South,San Diego,70
Diana,North,Phoenix,41
Bob,North,Chicago,19
Ivy,East,Chicago,57
Alice,East,New York,60
Hannah,North,Chicago,49
Eve,West,Philadelphia,23
Jack,North,Phoenix,25
Jack,North,Chicago,50
Alice,East,San Jose,52
Hannah,South,Dallas,26
Jack,South,San Jose,64
Frank,South,San Antonio,54
Frank,North,Philadelphia,70
Eve,South,New York,37
Alice,South,San Antonio,30
Ivy,North,New York,58
Bob,North,Los Angeles,41
Grace,West,Chicago,33
Jack,West,Philadelphia,58
Alice,East,Phoenix,23
Grace,East,Chicago,67
Jack,East,San Antonio,42
Bob,East,San Diego,56
Hannah,East,Dallas,28
Frank,West,San Jose,58
Grace,South,Chicago,22
Charlie,South,San Diego,29
Diana,West,San Antonio,57
Eve,West,San Antonio,27
Bob,North,New York,18
Frank,North,Chicago,47
Charlie,East,San Jose,68
Grace,West,Phoenix,30
Bob,West,San Diego,37
Bob,West,Phoenix,38
Grace,South,Houston,27
Grace,West,San Jose,42
Eve,East,San Diego,34
Bob,North,Dallas,31
Grace,East,Dallas,49
Diana,West,Los Angeles,40
Eve,North,Houston,21
Jack,South,San Diego,33
Frank,East,San Antonio,36
Bob,West,Philadelphia,43
Alice,West,Philadelphia,58
Alice,East,Los Angeles,46
Jack,West,Dallas,67
Bob,South,Los Angeles,47
Alice,East,San Diego,52
Ivy,North,Dallas,52
Ivy,East,Houston,57
Eve,North,Dallas,45
Eve,East,New York,41
Alice,East,New York,42
Frank,South,Dallas,58
Ivy,South,Los Angeles,45
Frank,South,Dallas,59
Diana,South,Philadelphia,61
Grace,South,New York,64
Bob,East,Dallas,19
Bob,East,San Diego,65
Hannah,West,Dallas,57
Charlie,North,Houston,18
Hannah,West,Philadelphia,41
Bob,South,Phoenix,26
Hannah,East,Phoenix,22
Hannah,West,Houston,25
Frank,South,New York,19
Ivy,East,Dallas,47
Hannah,East,Philadelphia,45
Grace,North,Houston,19
Bob,North,Philadelphia,46
Eve,North,Houston,31
Eve,West,Phoenix,47
Jack,North,Los Angeles,21
Hannah,West,San Diego,30
Bob,North,Phoenix,67
Diana,East,San Diego,33
Diana,North,New York,49
Alice,West,Philadelphia,69
Hannah,West,San Antonio,54
Hannah,East,Los Angeles,39
Grace,South,Chicago,20
Eve,South,New York,57
Diana,East,Houston,50
Diana,West,San Antonio,31
Frank,North,New York,64
Charlie,East,Dallas,43
Alice,West,San Diego,68
Grace,South,San Diego,48
Eve,West,San Jose,49
Ivy,North,San Antonio,65
Diana,West,New York,28
Bob,West,Dallas,42
Jack,North,San Diego,38
Charlie,East,San Jose,49
Bob,South,Houston,55
Frank,South,Dallas,52
Grace,West,San Antonio,31
Charlie,West,Houston,26
Jack,South,Los Angeles,55
Jack,South,San Antonio,63
Eve,East,Philadelphia,42
Bob,South,San Antonio,21
Grace,East,Chicago,68
Alice,South,Chicago,31
Bob,East,San Antonio,64
Hannah,East,Dallas,57
Jack,East,Philadelphia,49
Jack,North,New York,35
Charlie,South,San Jose,39
Frank,East,Chicago,30
Charlie,West,San Diego,64
Eve,West,San Jose,70
Jack,North,Los Angeles,42
Eve,North,Houston,69
Ivy,North,Chicago,27
Grace,West,Houston,46
Frank,East,Philadelphia,48
Charlie,West,New York,62
Jack,North,Phoenix,62
Alice,West,Chicago,26
Ivy,West,Phoenix,40
Hannah,North,San Antonio,46
Frank,East,San Jose,33
Ivy,West,New York,68
Bob,South,San Diego,20
Hannah,South,New York,53
Ivy,South,Phoenix,30
Frank,South,Chicago,29
Charlie,North,San Antonio,51
Ivy,West,Philadelphia,34
Grace,East,Chicago,19
Frank,North,New York,41
Charlie,West,Chicago,25
Frank,West,San Diego,23
Diana,East,Chicago,31
Alice,West,San Diego,28
Frank,South,San Jose,28
Eve,East,Phoenix,38
Bob,West,San Diego,41
Alice,South,Dallas,27
Diana,West,Philadelphia,21
Grace,South,Chicago,54
Alice,North,New York,35
Diana,West,Chicago,58
Jack,East,Philadelphia,22
Alice,West,Phoenix,39
Charlie,East,San Diego,35
Jack,North,Houston,43
Eve,West,San Antonio,29
Frank,West,Dallas,57
Charlie,West,Dallas,43
Grace,East,San Diego,61
Bob,North,San Antonio,30
Bob,South,Los Angeles,43
Grace,West,Dallas,50
Eve,West,San Diego,30
Bob,North,San Jose,28
Diana,West,Dallas,49
Eve,West,Phoenix,41
Charlie,West,Dallas,37
Frank,West,Phoenix,19
Eve,West,Los Angeles,35
Jack,East,San Antonio,53
Jack,East,Philadelphia,42
Grace,West,Phoenix,25
Jack,West,Philadelphia,21
Frank,North,San Antonio,47
Bob,South,San Diego,20
Alice,West,San Antonio,35
Bob,North,Chicago,38
Ivy,East,Phoenix,49
Frank,North,San Antonio,36
Eve,South,Chicago,19
Alice,North,Phoenix,27
Hannah,West,Phoenix,58
Charlie,North,San Diego,56
Hannah,North,Chicago,65
Eve,West,Dallas,56
Diana,East,Houston,33
Hannah,West,New York,20
Eve,East,San Antonio,19
Diana,North,San Antonio,59
Eve,West,Philadelphia,57
Frank,South,Philadelphia,54
Eve,East,Los Angeles,62
Alice,South,Philadelphia,58
Grace,South,Los Angeles,57
Hannah,North,Phoenix,22
Frank,South,Houston,54
